date,ABEV3,AEDU3,ALLL3,ALPA4,ALSC3,ALUP11,AMBV3,AMIL3,ANIM3,ARTR3,ARZZ3,AZUL4,B3SA3,BBAS3,BBDC3,BBDC4,BBRK3,BBSE3,BEEF3,BIDI11,BISA3,BPAC11,BPAN4,BRAP4,BRDT3,BRFS3,BRKM5,BRML3,BRPR3,BRSR6,BTOW3,CCRO3,CESP6,CIEL3,CMIG3,CMIG4,CNFB4,COGN3,CPFE3,CPLE6,CRFB3,CRUZ3,CSAN3,CSMG3,CSNA3,CTIP3,CVCB3,CYRE3,DASA3,DIRR3,DTEX3,ECOR3,EGIE3,ELET3,ELET6,ELPL3,ELPL4,EMBR3,ENAT3,ENBR3,ENEV3,ENGI11,EQTL3,EVEN3,EZTC3,FFTL4,FIBR3,FLRY3,GETI4,GFSA3,GGBR3,GGBR4,GNDI3,GOAU4,GOLL4,GRND3,HAPV3,HGTX3,HYPE3,IGTA3,IRBR3,ITSA4,ITUB3,ITUB4,JBSS3,KEPL3,KLBN11,KLBN4,LAME3,LAME4,LCAM3,LEVE3,LIGT3,LINX3,LOGG3,LREN3,MAGG3,MDIA3,MGLU3,MILS3,MMXM3,MOVI3,MPLU3,MRFG3,MRVE3,MULT3,MYPK3,NATU3,ODPV3,OGXP3,OIBR3,OIBR4,OSXB3,PCAR4,PDGR3,PETR3,PETR4,PMAM3,POMO4,POSI3,PRIO3,PRML3,PRTX3,PSSA3,QUAL3,RADL3,RAIL3,RAPT4,RDCD3,RENT3,RLOG3,RPMG3,RSID3,RUMO3,SANB11,SAPR11,SAPR4,SBSP3,SEER3,SLCE3,SMLS3,SMTO3,SULA11,SUZB3,SUZB5,TAEE11,TAMM4,TCSA3,TCSL4,TEND3,TERI3,TESA3,TIET11,TIMP3,TMAR5,TNLP3,TNLP4,TOTS3,TRPL4,TUPY3,UGPA3,UGPA4,USIM3,USIM5,VALE3,VALE5,VIVO4,VIVR3,VIVT4,VLID3,VVAR11,VVAR3,WEGE3,WIZS3,YDUQ3
2009-12-31,4.97,,15.892,2.5,,,25.692,13.459,,5.782,,,8.108,15.439,7.217,8.593,43.088,,5.365,,6.686,,9.361,22.574,,20.264,9.693,6.003,,7.497,40.847,6.282,12.466,4.723,4.183,5.706,4.628,1.895,12.001,22.9,,8.699,17.438,20.977,18.263,11.318,,17.473,13.541,7.224,8.282,,9.526,17.637,16.177,28.009,17.65,8.319,,6.21,317.862,7.213,1.544,6.472,3.897,16.386,31.579,6.524,10.954,95.964,17.903,24.509,,29.159,25.039,1.905,,6.499,16.304,14.346,,3.625,7.914,10.869,8.338,15.284,,0.679,6.033,7.43,,4.361,14.73,,,5.154,64.465,12.102,,,1498.914,,,18.934,8.396,8.87,9.55,13.071,3.263,1710.0,116.314,67.527,,59.032,3706.664,35.415,27.977,103.503,1.202,19.343,,48.386,,11.786,,8.409,,6.5879,24.179,4.64,,2.127,347.212,,12.39,,0.423,8.431,,5.808,,4.815,8.55,,13.833,4.93,0.152,7.264,4.834,2.633,259.311,262.375,7.538,5.692,59.997,40.248,32.529,6.425,6.077,4.529,7.61,18.796,23.536,22.55,32.502,28.902,47.556,2820.68,19.188,10.608,,3.532,4.277,,5.984
2010-01-29,4.928,,14.722,2.645,7.588,,26.127,13.066,,6.037,,,8.426,14.607,6.806,8.144,52.663,,6.341,,7.081,,9.82,22.744,,20.166,9.129,5.724,,6.681,32.473,6.334,12.186,4.618,4.114,5.661,4.457,2.011,12.33,23.827,,9.113,14.509,16.087,17.937,11.533,,15.433,13.738,7.25,8.277,,8.951,19.433,17.696,29.707,18.366,8.739,,6.543,325.632,7.56,1.45,5.722,3.736,18.56,27.621,6.914,10.396,82.813,15.754,21.313,,26.169,22.178,1.677,,6.82,17.698,12.021,,3.445,7.725,10.2,8.356,23.776,,0.624,5.43,6.33,,4.36,14.134,,,4.719,65.937,13.961,,,1553.53,,,22.281,7.235,8.2,11.182,12.218,2.957,1680.0,85.703,52.772,,57.425,3206.745,32.499,26.055,103.193,1.352,17.472,,39.915,,11.106,,8.109,,6.4695,21.97,4.741,,5.22,297.286,,11.674,,0.399,7.688,,6.413,,5.098,8.058,,13.705,4.962,0.138,6.6,4.674,2.384,279.685,322.552,7.153,5.573,53.082,35.917,29.46,6.31,5.692,3.824,7.875,19.451,23.324,22.646,32.115,28.861,46.916,2853.101,18.502,10.755,,3.051,4.196,,5.432
2010-02-26,4.957,,15.717,2.819,8.722,,25.976,13.115,,6.45,,,7.837,15.721,6.778,8.107,54.525,,6.074,,7.766,,9.613,23.101,,19.697,8.798,6.562,,7.39,32.045,6.008,12.061,4.357,3.922,5.365,4.322,1.958,12.622,22.751,,9.31,16.035,15.961,19.291,11.509,,16.082,14.066,6.941,8.795,,9.163,17.207,14.724,31.201,19.195,8.582,,6.524,380.728,7.609,1.499,5.684,3.814,17.776,26.619,7.092,10.407,93.109,16.206,22.247,,27.43,23.57,1.771,,7.196,17.584,12.067,,3.547,7.775,10.415,8.124,27.172,,0.608,5.137,6.22,,4.326,15.11,,,5.118,59.78,13.658,,,1959.649,,9.434,20.855,7.8,8.539,10.357,11.988,3.383,1575.0,83.631,50.071,,55.745,3454.568,32.907,26.391,127.829,1.448,17.16,,45.658,,10.573,,8.349,,6.3596,21.928,4.732,,7.282,320.433,,11.088,,0.471,7.443,,5.458,,4.786,7.812,,12.551,4.983,0.134,6.558,4.853,2.379,240.789,324.959,7.161,5.852,49.861,33.765,27.444,5.962,5.812,3.995,7.656,18.911,24.057,23.431,33.126,30.443,43.065,2512.674,17.532,9.993,,2.523,4.152,,5.429
2010-03-31,4.689,,15.892,2.774,8.955,,24.297,13.668,,6.972,,,7.999,15.872,6.949,8.54,51.532,,6.994,,6.824,,9.703,25.749,,21.394,9.012,5.864,6.538,7.664,32.903,6.219,12.7,5.347,3.892,5.33,4.268,1.748,12.47,22.51,,9.636,14.768,16.214,23.266,11.286,,15.02,14.826,6.682,7.849,6.153,8.845,19.266,16.351,29.775,19.947,9.203,,6.33,336.227,7.113,1.334,5.002,3.736,16.872,31.054,6.74,10.571,83.527,17.773,24.307,,30.461,22.104,1.742,,7.75,17.73,12.637,,3.801,8.123,11.132,7.113,22.502,,0.7,5.209,6.365,,4.675,14.81,,,5.351,63.572,12.707,,,2023.973,,9.661,20.142,7.39,8.052,10.571,13.317,3.38,1665.0,66.677,45.959,2800.0,53.811,3164.017,33.757,26.986,103.813,1.434,15.41,,40.058,,10.544,,8.614,,5.7972,27.431,4.515,,5.477,281.173,,11.449,,0.464,7.867,,5.18,,4.614,7.935,,16.398,5.062,0.121,6.67,4.693,,215.784,279.224,7.274,5.573,48.328,34.395,27.628,6.187,5.62,4.156,8.239,20.351,29.364,27.89,37.525,33.935,43.986,2585.623,17.136,9.562,,3.071,4.48,,5.212
2010-04-30,4.875,,15.424,2.7,8.306,,25.897,14.063,,6.971,,,7.641,15.946,6.862,8.286,53.37,,6.866,,6.695,,9.344,23.476,,20.278,8.654,6.182,6.313,6.893,32.878,6.374,13.063,5.388,4.314,5.742,4.148,1.721,12.555,22.079,,10.413,15.054,16.455,21.055,10.484,,14.977,14.351,6.581,8.13,6.218,9.8,18.163,15.499,32.253,19.645,8.989,,6.529,303.593,6.874,1.365,4.709,3.885,16.137,27.863,6.29,10.631,81.296,17.523,23.929,,28.424,22.897,1.554,,8.696,19.565,12.3,,3.741,7.997,10.764,7.309,19.106,,0.709,5.256,6.211,,4.641,14.459,,,5.75,56.39,12.239,,11.27,1899.812,,10.545,18.062,7.324,8.173,12.228,13.612,3.109,1732.0,60.757,44.991,2375.96,54.367,3455.775,31.629,25.199,88.473,1.499,16.701,,39.484,,10.497,,9.045,,6.1397,24.791,4.695,,5.993,291.612,,10.465,,0.454,8.227,,5.927,,4.432,8.14,,14.96,5.094,0.123,6.104,4.392,,219.951,276.817,7.315,4.856,44.846,30.748,25.462,6.602,5.697,4.418,7.902,19.518,25.728,25.688,35.113,32.131,42.073,2293.829,16.164,9.483,,2.913,4.185,,4.915
2010-05-31,4.99,,14.129,2.872,9.482,,25.928,13.569,,6.903,,,8.195,14.019,6.533,7.922,39.858,,6.028,,6.782,,7.875,21.957,,20.813,7.428,6.55,5.882,6.693,26.22,5.885,11.431,4.916,3.931,5.417,3.915,1.569,12.96,20.957,,10.335,14.134,15.718,18.797,12.113,,14.408,14.256,6.645,7.977,6.147,9.186,16.946,14.25,31.1,17.664,8.592,,6.539,299.496,5.987,1.339,5.129,3.78,15.432,23.832,6.315,11.235,75.528,15.028,21.128,,26.631,20.121,1.45,,9.211,20.054,12.756,,3.484,7.405,9.911,6.506,14.011,,0.646,4.451,5.956,,4.449,12.613,,,5.815,49.519,10.601,,11.327,1647.003,,9.77,16.954,7.159,9.331,12.03,13.981,3.339,1621.0,67.522,47.934,2039.96,53.545,3315.032,29.359,22.907,80.416,1.517,14.915,,35.416,,11.012,,8.924,,6.0887,23.754,4.606,,4.897,300.706,,10.048,,0.407,8.626,,5.01,,4.149,8.001,,13.503,3.745,0.102,5.32,4.791,,188.0,199.79,7.731,5.581,50.054,35.158,28.887,7.171,5.606,4.646,7.881,19.468,21.196,21.013,33.064,29.611,45.507,2269.512,16.587,8.543,,3.005,4.008,,4.767
2010-06-30,5.176,,13.847,3.425,9.874,,27.46,14.457,,7.231,,,7.837,13.301,6.226,7.371,39.318,,6.313,,6.765,,7.866,19.459,,21.221,8.626,6.634,6.516,6.852,25.774,5.921,12.834,4.852,3.903,5.453,4.55,1.406,13.898,23.202,,10.582,15.381,16.305,17.719,11.515,,14.233,16.147,6.824,8.386,6.464,9.43,17.851,15.326,,20.623,8.218,,7.009,278.305,5.951,1.422,5.214,3.923,13.406,21.522,7.092,11.962,74.155,14.141,19.936,,24.516,21.192,1.519,,10.507,18.896,13.492,,3.351,6.953,9.286,6.856,14.435,,0.648,4.783,6.283,,4.841,12.933,,,6.551,46.397,11.406,,12.939,1573.703,,9.977,16.756,7.698,9.127,13.028,14.756,3.791,1672.0,67.649,48.942,1880.0,57.656,3299.875,26.706,20.786,78.402,1.709,15.156,,35.224,,10.924,,10.449,,6.6363,22.058,5.052,,8.764,299.784,,9.652,,0.399,9.242,,4.799,,3.951,7.571,,12.836,3.536,0.105,6.133,4.713,,175.961,202.197,8.231,5.812,47.257,37.035,26.199,7.4,5.793,4.68,8.325,20.563,22.327,22.025,28.864,26.179,42.255,2228.985,17.162,8.486,,2.936,3.951,,4.939
2010-07-30,5.477,,16.187,3.509,10.526,,28.732,15.0,,7.923,,,8.749,16.479,7.594,9.307,46.817,,6.313,,8.0,,8.343,21.91,,22.125,9.094,7.394,7.099,7.928,28.962,6.346,14.149,5.043,3.951,5.482,4.821,1.492,14.318,23.763,,12.574,17.029,16.833,19.7,11.758,,18.085,16.071,7.891,9.434,6.95,10.169,17.058,14.81,34.86,21.219,10.175,,7.029,293.845,6.268,1.457,6.364,4.472,15.293,22.572,7.237,12.74,90.634,15.125,21.466,,26.018,24.284,1.578,,13.305,18.668,14.879,,4.092,8.169,11.316,7.717,14.86,,0.671,5.304,7.205,,5.583,13.536,,,7.882,53.088,11.64,,13.953,1774.155,,11.114,17.57,9.551,9.093,14.849,17.127,3.977,1859.0,66.973,46.765,2160.04,52.712,4053.39,27.602,21.553,96.53,1.818,16.148,,42.595,,11.861,,11.086,,7.5456,22.975,5.878,,15.3,364.764,,12.262,,0.46,8.668,,5.389,,4.588,7.951,,14.178,3.814,0.123,6.846,4.907,,192.631,214.233,8.766,5.533,44.557,32.712,24.986,7.121,6.138,4.764,8.682,21.446,24.023,22.652,32.105,29.466,42.847,2658.572,18.028,8.852,,3.521,4.342,,5.158
2010-08-31,5.567,,15.787,3.776,10.395,,29.396,15.908,,8.286,,,8.731,15.471,7.268,8.794,44.655,,6.304,,7.878,,7.264,21.72,,21.087,10.657,7.764,7.17,8.079,23.992,6.384,13.36,4.788,4.258,5.836,5.594,1.495,14.843,24.177,,12.89,15.905,16.46,18.124,12.56,,15.925,17.487,7.763,9.172,7.125,10.338,15.988,13.782,,21.077,9.564,,7.34,408.699,7.043,1.668,6.403,5.074,16.813,21.861,7.71,12.564,83.081,14.241,19.854,,23.818,22.5,1.491,,15.21,18.855,14.386,,3.87,7.969,10.883,6.685,15.284,,0.642,5.54,7.104,,5.162,13.45,,,7.58,48.538,11.991,,15.261,1877.374,,12.122,16.875,8.872,9.207,14.933,15.853,4.505,2088.0,63.971,44.79,1948.0,56.745,3906.152,25.651,20.313,95.291,1.984,15.898,,42.595,,12.535,,11.204,,7.2361,21.563,5.922,,13.944,349.326,,11.766,,0.483,8.234,,5.73,,4.912,8.854,,13.597,4.224,0.144,6.953,4.82,,167.626,209.418,8.646,5.565,42.927,29.913,23.191,7.182,6.316,6.777,9.426,23.284,21.733,20.157,31.0,28.609,38.431,2415.41,19.164,10.054,,3.44,4.046,,4.615
2010-09-30,5.995,,16.684,4.22,11.309,,30.989,16.056,,9.149,,,9.652,17.591,7.941,9.798,50.667,,6.286,,7.904,,7.552,24.034,,23.057,11.827,7.984,8.266,8.961,26.82,7.201,13.24,4.885,4.033,5.722,5.782,1.578,14.166,23.423,,13.479,17.468,17.265,19.761,13.524,,17.472,19.388,7.884,9.456,7.254,11.268,16.13,13.804,34.85,19.288,10.484,,7.166,391.323,7.351,1.533,6.854,5.401,17.677,23.638,7.496,13.313,89.604,14.217,19.293,,23.099,25.721,1.692,,16.428,21.431,16.173,,4.07,8.394,11.649,6.56,15.284,,0.626,6.047,7.436,,5.481,14.357,,,7.753,51.304,12.134,,15.934,1919.259,,14.301,17.113,9.726,9.926,16.152,17.052,4.795,2205.0,63.421,44.951,2292.0,53.491,4363.024,26.354,21.272,89.713,2.029,15.183,,44.318,,12.711,,13.119,,7.6746,23.584,6.877,,13.363,373.29,,12.107,,0.458,9.341,,6.682,,5.135,9.81,,13.674,4.385,0.161,6.789,5.296,,201.429,233.489,9.161,5.78,43.303,30.895,23.482,7.176,6.588,7.176,9.944,24.563,24.277,20.784,34.584,31.972,42.073,2520.78,19.73,10.404,,3.486,4.418,,4.77
